tweet_id,retweet_count,favorite_count
831322785565769729,1518,9137
831315979191906304,1096,6428
831309418084069378,2407,11578
831262627380748289,1992,11710
830956169170665475,1459,7855
830583320585068544,16354,65652
830173239259324417,5545,0
830097400375152640,2866,9627
829878982036299777,4893,0
829861396166877184,1893,12050
829501995190984704,10363,31219
829449946868879360,1964,10299
829141528400556032,7167,23988
829011960981237760,15972,52442
828801551087042563,3349,0
828770345708580865,5725,25198
828708714936930305,10936,35922
828650029636317184,1303,9362
828409743546925057,1140,6245
828408677031882754,1257,7568
828381636999917570,2174,12402
828376505180889089,1045,7272
828372645993398273,2867,12396
828361771580813312,171,2152
828046555563323392,2810,11576
828011680017821696,2110,10212
827933404142436356,5128,19789
827653905312006145,2959,15282
827600520311402496,920,7369
827324948884643840,2972,15612
827199976799354881,2181,10438
826958653328592898,4893,21252
826848821049180160,9940,35768
826615380357632002,3906,0
826598799820865537,244,5054
826598365270007810,2297,9885
826476773533745153,4105,18152
826240494070030336,2562,13097
826204788643753985,903,4809
826115272272650244,3039,15428
825876512159186944,1828,10330
825829644528148480,2442,12569
825535076884762624,17256,56152
825147591692263424,4442,18056
825120256414846976,1223,0
825026590719483904,1223,6197
824796380199809024,5402,0
824775126675836928,3442,14720
824663926340194305,1738,10394
824325613288833024,10381,11682
824297048279236611,3788,14864
824025158776213504,588,4767
823939628516474880,2656,10497
823719002937630720,10981,0
823699002998870016,2473,13812
823581115634085888,2582,12863
823333489516937216,22,692
823322678127919110,3941,15550
823269594223824897,9704,0
822975315408461824,3382,17142
822872901745569793,42425,129861
822859134160621569,2231,13091
822647212903690241,6300,0
822610361945911296,2903,14633
822489057087389700,6300,17920
822462944365645825,14014,27613
822244816520155136,9704,34554
822163064745328640,4671,0
821886076407029760,2266,11194
821813639212650496,3327,0
821765923262631936,1629,8305
821522889702862852,1723,7954
821421320206483457,5484,0
821407182352777218,4261,11610
821153421864615936,10,253
821149554670182400,1935,8528
821107785811234820,2100,9499
821044531881721856,2235,12536
820837357901512704,6621,0
820749716845686786,9723,31210
820690176645140481,3181,12085
820494788566847489,554,0
820446719150292993,2536,0
820314633777061888,554,3307
820078625395449857,6186,19599
820013781606658049,1158,0
819952236453363712,1158,5268
819924195358416896,4813,12799
819711362133872643,3068,13224
819588359383371776,1969,9558
819347104292290561,1183,7142
819238181065359361,401,2240
819227688460238848,6621,22853
819015337530290176,36444,0
819015331746349057,18768,0
819006400881917954,18768,44918
819004803107983360,36444,86147
818646164899774465,20683,0
818627210458333184,7445,22211
818614493328580609,2512,9751
818588835076603904,6032,0
